repo,condition,run_index,run_id,dispatched_at,total_energy_j
congo-SE,baseline,1,23711850646,2026-03-29T15:00:04.735184+00:00,0.04570262
congo-SE,treatment,2,23713327923,2026-03-29T16:13:56.079759+00:00,0.04666827
congo-SE,baseline,3,23713343405,2026-03-29T16:14:41.890404+00:00,0.04893666
congo-SE,treatment,3,23713359117,2026-03-29T16:15:27.576032+00:00,0.0305333
congo-SE,treatment,4,23713442994,2026-03-29T16:19:48.546999+00:00,0.05672561
congo-SE,baseline,5,23713459968,2026-03-29T16:20:42.237053+00:00,0.0622052
congo-SE,treatment,5,23713476231,2026-03-29T16:21:28.477959+00:00,0.04194
congo-SE,baseline,6,23713491351,2026-03-29T16:22:14.435208+00:00,0.03858778
congo-SE,treatment,6,23713508147,2026-03-29T16:23:00.476088+00:00,0.03757491
congo-SE,baseline,7,23713522847,2026-03-29T16:23:45.645112+00:00,0.06945219
congo-SE,treatment,7,23713537184,2026-03-29T16:24:31.118111+00:00,0.05596514
congo-SE,baseline,8,23713552683,2026-03-29T16:25:16.668305+00:00,0.04421366
congo-SE,treatment,8,23713566535,2026-03-29T16:26:02.339758+00:00,0.0334227
congo-SE,baseline,9,23713582497,2026-03-29T16:26:47.848537+00:00,0.04565903
congo-SE,treatment,9,23713598099,2026-03-29T16:27:33.577551+00:00,0.06363609
congo-SE,baseline,10,23713614247,2026-03-29T16:28:18.949159+00:00,0.0567261
congo-SE,treatment,10,23713628913,2026-03-29T16:29:04.497668+00:00,0.03871605
congo-SE,baseline,11,23713643991,2026-03-29T16:29:49.976478+00:00,0.0430289
congo-SE,treatment,11,23713661715,2026-03-29T16:30:35.524580+00:00,0.0512685
congo-SE,baseline,12,23713676521,2026-03-29T16:31:21.114466+00:00,0.06709986
congo-SE,treatment,12,23713693407,2026-03-29T16:32:07.145226+00:00,0.0354009
congo-SE,baseline,13,23713707620,2026-03-29T16:32:52.358286+00:00,0.04607329
congo-SE,treatment,13,23713723910,2026-03-29T16:33:38.125352+00:00,0.053075
congo-SE,baseline,14,23713737883,2026-03-29T16:34:23.586590+00:00,0.03640129
congo-SE,treatment,14,23713753587,2026-03-29T16:35:08.848323+00:00,0.0546815
congo-SE,baseline,15,23713767775,2026-03-29T16:35:54.625964+00:00,0.0404253
congo-SE,treatment,15,23713783695,2026-03-29T16:36:40.191097+00:00,0.0325306
congo-SE,baseline,16,23713799395,2026-03-29T16:37:30.367525+00:00,0.059369
congo-SE,treatment,16,23713815308,2026-03-29T16:38:15.937469+00:00,0.0344083
congo-SE,baseline,17,23713830555,2026-03-29T16:39:06.523615+00:00,0.0353493
congo-SE,treatment,17,23713844510,2026-03-29T16:39:52.151848+00:00,0.03736995
congo-SE,baseline,18,23713860451,2026-03-29T16:40:37.452345+00:00,0.05994784
congo-SE,treatment,18,23713875610,2026-03-29T16:41:22.925144+00:00,0.06312984
congo-SE,baseline,19,23713890909,2026-03-29T16:42:08.333930+00:00,0.0573736
congo-SE,treatment,19,23713906507,2026-03-29T16:42:54.264622+00:00,0.06720449
congo-SE,baseline,20,23713921308,2026-03-29T16:43:40.645245+00:00,0.06495046
congo-SE,treatment,20,23713936973,2026-03-29T16:44:26.534661+00:00,0.05841903
congo-SE,baseline,21,23713951228,2026-03-29T16:45:11.883407+00:00,0.0609904
congo-SE,treatment,21,23713966181,2026-03-29T16:45:57.453050+00:00,0.06362717
congo-SE,baseline,22,23713980756,2026-03-29T16:46:42.918561+00:00,0.03910402
congo-SE,baseline,23,23714020399,2026-03-29T16:48:48.853125+00:00,0.0365358
congo-SE,treatment,23,23714035193,2026-03-29T16:49:34.945034+00:00,0.04004513
congo-SE,baseline,24,23714049357,2026-03-29T16:50:20.939271+00:00,0.04549592
congo-SE,treatment,24,23714064626,2026-03-29T16:51:06.596374+00:00,0.0456342
congo-SE,baseline,25,23714078594,2026-03-29T16:51:52.158190+00:00,0.0410444
congo-SE,treatment,25,23714094090,2026-03-29T16:52:37.841803+00:00,0.04000031
congo-SE,baseline,26,23714108228,2026-03-29T16:53:23.197473+00:00,0.04110621
congo-SE,treatment,26,23714122279,2026-03-29T16:54:08.748355+00:00,0.0334855
congo-SE,baseline,27,23714136811,2026-03-29T16:54:54.435254+00:00,0.0415129
congo-SE,treatment,27,23714150768,2026-03-29T16:55:40.721333+00:00,0.04082435
congo-SE,baseline,28,23714166401,2026-03-29T16:56:26.116290+00:00,0.039284
congo-SE,treatment,28,23714181248,2026-03-29T16:57:11.548953+00:00,0.036299
congo-SE,baseline,29,23714196798,2026-03-29T16:57:57.118436+00:00,0.04917621
congo-SE,treatment,29,23714211794,2026-03-29T16:58:42.679024+00:00,0.03135417
congo-SE,baseline,30,23714225874,2026-03-29T16:59:28.047459+00:00,0.06175054
