repo,n,mean_diff_J,std_diff_J,test,p_value,effect_label,effect_size,ci_lo_J,ci_hi_J,ci_on,significant
ArchiSteamFarm-SE,27,-0.8017194503703705,0.031041542231978997,paired t-test,1.8000810330492474e-38,Cohen's d,-25.827307302548878,-0.8139990755022046,-0.7894398252385364,mean diff,True
congo-SE,25,-0.004415966800000001,0.012762240296337317,paired t-test,0.09645550597903278,Cohen's d,-0.3460181517869833,-0.00968396067815236,0.0008520270781523596,mean diff,False
django-compressor-SE,29,0.0018123144827586206,0.007929860471881666,paired t-test,0.22865843139267433,Cohen's d,0.22854304803784006,-0.0012040431229588507,0.004828672088476092,mean diff,False
rq-SE,29,0.003662747999999999,0.01104573787829888,paired t-test,0.08498225840945088,Cohen's d,0.33159830880977664,-0.0005388259845750952,0.007864321984575094,mean diff,False
